A,4,ã̄h,fibre of a plant,,,,CDIAL,2:
OB,4,ã̄su,,,,,CDIAL,2:
B,4,ã̄s,"fibre of tree or stringy fruit, nap of cloth",,,,CDIAL,2:
Or,4,ã̄su,"fibrous layer at root of coconut branches, edge or prickles of leaves",,,,CDIAL,2:
Or,4,ã̄s,"fibre, pith",,,f,CDIAL,2:
B,4,ã̄iś,fibre,,,,CDIAL,3:with -<i>i</i>- in place of -<i>u</i>-
M,4,ã̄sī̃,fine particles of flattened rice in winnowing fan,,,n,CDIAL,3:with -<i>i</i>- in place of -<i>u</i>-
A,4,ãhiyā,fibrous,,,,CDIAL,3:with -<i>i</i>- in place of -<i>u</i>-
Indo-Aryan,5,aṁśuka,"*fibrous; cloth, garment",,,n; lex,CDIAL,1:
Pk,5,aṁsuya,cloth,,,n,CDIAL,2:
A,5,ã̄hu,coloured thread,,,,CDIAL,2:
B,5,ã̄suyā,"fibrous, stringy",,,,CDIAL,2:
Or,5,ãsuā,,,,,CDIAL,2:
Indo-Aryan,6,áṁsa,"shoulder, shoulder-blade",,,m; RV,CDIAL,1:
Pa,6,aṁsa,shoulder,,,m,CDIAL,2:
Pk,6,aṁsa,shoulder,,,m,CDIAL,2:
L,6,añj-vañj,limbs,,,m,CDIAL,2:
awāṇ,6,añj-bā̂,,,,,CDIAL,2:
Si,6,as,shoulder,,,,CDIAL,2:
S,6,hañjhī,shoulder-blade,,,f,CDIAL,3:With <i>h</i>- (from <i>haḍḍa</i>- 'bone' ?)
L,6,hãjī,,,,f,CDIAL,3:With <i>h</i>- (from <i>haḍḍa</i>- 'bone' ?)
H,6,hã̄s,collar-bone,,,m,CDIAL,3:With <i>h</i>- (from <i>haḍḍa</i>- 'bone' ?)
G,6,hã̄sṛī,collar,,,f,CDIAL,3:With <i>h</i>- (from <i>haḍḍa</i>- 'bone' ?)
Pk,6,aṁsalaga,shoulder,,,m,CDIAL,4:-<i>la</i>-
Pk,6,haṁsala,sort of ornament,,,m,CDIAL,4:-<i>la</i>-
P,6,haslī,gold or silver collar,,,f,CDIAL,4:-<i>la</i>-
N,6,hã̄suli,collar,,,,CDIAL,4:-<i>la</i>-
H,6,hãslī,,,,f,CDIAL,4:-<i>la</i>-
M,6,hã̄sḷī,,,,f,CDIAL,4:-<i>la</i>-
S,6,hasu,silver collar,,,m,CDIAL,5:Loans from the centre with <i>{s}s</i>
L,6,hassī,"collarbone, silver collar",,,f,CDIAL,5:Loans from the centre with <i>{s}s</i>
mult,6,hassī,"collarbone, silver collar",,,f,CDIAL,5:Loans from the centre with <i>{s}s</i>
awāṇ,6,has,neck-bone,,,,CDIAL,5:Loans from the centre with <i>{s}s</i>
P,6,hass,,,,m,CDIAL,5:Loans from the centre with <i>{s}s</i>
P,6,hassī,shoulderblade,,,f,CDIAL,5:Loans from the centre with <i>{s}s</i>
Indo-Aryan,7,áṁsiya,belonging to the shoulder; *made of or shaped like the shoulder-blade,,,RV,CDIAL,1:
Indo-Aryan,7,áṁsya,belonging to the shoulder; *made of or shaped like the shoulder-blade,,,RV,CDIAL,1:
Indo-Aryan,7,áṁsiya,belonging to the shoulder; *made of or shaped like the shoulder-blade,,,RV,CDIAL,1:
Indo-Aryan,7,áṁsya,belonging to the shoulder; *made of or shaped like the shoulder-blade,,,RV,CDIAL,1:
Ku,7,ã̄sī,scythe,,,,CDIAL,2:
N,7,hã̄siyo,sickle,,,,CDIAL,2:
B,7,hã̄siyā,,,,,CDIAL,2:
H,7,hãsiyā,,,,,CDIAL,2:
H,7,hasiyā,,,,m,CDIAL,2:
Bi,7,hãsuā,sickle,,,,CDIAL,3:With -<i>u</i>-
G,7,hã̄svɔ,hoe,,,m,CDIAL,3:With -<i>u</i>-
Indo-Aryan,9,áṁhas,trouble,,,n; RV,CDIAL,1:
Pk,9,aṁha,dirt,,,m,CDIAL,2:
S,9,ãhañju,distress,,,m,CDIAL,2:
S,9,ãhañjo,distressed,,,(&lt; <i>*aṁhaṁsa</i>- &lt; <i>*aṁhasa</i>- ?),CDIAL,2:
Indo-Aryan,9a,akarmán,"not working, not performing good works",,,RV,CDIAL,1:
S,9a,akamo,"inactive, lazy, useless",,,(KhubSD) &lt,CDIAL;KhubSD,2:
S,9a,*akramm,,,,?  <div> <p><hw></hw></p>,CDIAL,2:
Indo-Aryan,10,akalpá,not subject to rules,,,RV,CDIAL,1:
Pk,10,akappa,improper; improper conduct,,,m,CDIAL,2:
Si,10,ayapa,improper thing,,,,CDIAL,2:
Indo-Aryan,11,akāla,out of time; wrong time,,,MBh,CDIAL,1:
Pa,11,akāla,,,,m,CDIAL,2:
Pk,11,ayāla,,,,m,CDIAL,2:
Pr,11,agál,,,,,CDIAL,2:
Pr,11,γäl,rain,,,,CDIAL,2:
Kt,11,agōl,,,,NTS xv 247 (← early Ind.),CDIAL;NTS,2:
OSi,11,akala,untimely,,,,CDIAL,2:
OSi,11,ayal,,,,mod,CDIAL,2:
OSi,11,yala,lesser harvest in September,,,Geiger EGS 141 (or &lt; *<smallcaps>akālasasya</smallcaps>-),CDIAL;EGS,2:
Aś,11,akalike,,,,,CDIAL,3:cf
man,11,akalike,,,,,CDIAL,3:cf
kāl,11,akālikye,without reference to time,,,,CDIAL,3:cf
Pk,11,ayāliya,unexpected,,,,CDIAL,3:cf
Pk,11,ayāli,,,,m,CDIAL,3:cf
H,11,kāl,"bad time, famine",,,m; ←,CDIAL,4:
Sk,11,akāla,,,,,CDIAL,4:
Indo-Aryan,12,*akālasasya,harvest out of time,,,,CDIAL,1:
OSi,12,akalahasa,lesser of the two rice harvests,,,"Geiger GS 32, mod",CDIAL;GS,2:
OSi,12,yala,,,,(or &lt; <smallcaps>akāla</smallcaps>-),CDIAL,2:
Indo-Aryan,13,*akulanīya,without family,,,,CDIAL,1:
Paš,13,aulanī́,,,,m,CDIAL,2:
Paš,13,aulankī́,sonless,,,"f; Morgenstierne IIFL iii 3, 9 with (?)",CDIAL;Morgenstierne;IIFL,2:
Indo-Aryan,14,ákr̥ṣṭa,unploughed land,,,n; AV,CDIAL,1:
Pk,14,akiṭṭha,unploughed,,,,CDIAL,2:
S,14,āiṭho,"fallow land, farm",,,m,CDIAL,2:
L,14,āeṭhā,,,,,CDIAL,2:
L,14,āṭhiā,,,,(Jukes),CDIAL,2:
L,14,āiṭhiā,"land round a well, part cultivated, part left fallow",,,m,CDIAL,2:
L,14,ākr̥ṣṭa,drawn; *ploughed,,,MBh; (cf. Pa. <i>ākassati</i> 'ploughs'),CDIAL,2:
mult,14,āeṭhā,,,,,CDIAL,2:
mult,14,āṭhiā,,,,(Jukes),CDIAL,2:
mult,14,āiṭhiā,"land round a well, part cultivated, part left fallow",,,m,CDIAL,2:
mult,14,ākr̥ṣṭa,drawn; *ploughed,,,MBh; (cf. Pa. <i>ākassati</i> 'ploughs'),CDIAL,2:
Pk,14,āgiṭṭhi,drawing,,,f,CDIAL,2:
Indo-Aryan,15,*akka,"vexed, bewildered",,,,CDIAL,1:
S,15,akaṇu,to be bothered,,,,CDIAL,2:
L,15,akkaṇ,to be vexed,,,,CDIAL,2:
P,15,akkṇā,,,,,CDIAL,2:
Or,15,akā,"foolish, bewildered",,,,CDIAL,2:
Ku,15,akabaka,nonsense,,,,CDIAL,3:redup
Ku,15,akabakiṇo,to be puzzled,,,,CDIAL,3:redup
N,15,akabakka,,,,,CDIAL,3:redup
N,15,°makka,perplexed,,,,CDIAL,3:redup
Indo-Aryan,16,akkā,mother,,,Kāś,CDIAL,1:
Pk,16,akkā,"sister, bawd",,,f,CDIAL,2:
M,16,akā,respectful term for elder sister or any elderly woman,,,f,CDIAL,2:
Indo-Aryan,17,*akkha,"sacking, bag, net",,,,CDIAL,1:
S,17,akho,mesh of a net,,,m,CDIAL,2:
P,17,akkhā,one end of a bag or sack thrown over a beast of burden,,,m,CDIAL,2:
Or,17,akhā,gunny bag,,,,CDIAL,2:
Bi,17,ākhā,,,,,CDIAL,2:
Bi,17,ã̄khā,grain bag carried by pack animal,,,,CDIAL,2:
H,17,ākhā,one of a pair of grain bags used as panniers,,,m,CDIAL,2:
M,17,ã̄khā,"netting in which coco-nuts, &amp;c., are carried",,,m,CDIAL,2:
M,17,akhẽ,half a bullock-load,,,n,CDIAL,2:
M,17,ākhẽ,half a bullock-load,,,n,CDIAL,2:
Indo-Aryan,18,aktá,smeared,,,,CDIAL,1:
Indo-Aryan,19,akrōdha,freedom from anger,,,m; cf,CDIAL,1:
Indo-Aryan,19,akrōdhamáya,free from anger,,,ŚBr,CDIAL,1:@variant
Pk,19,akkōha,free from anger,,,,CDIAL,2:
Si,19,akō,friendly,,,,CDIAL,2:
Indo-Aryan,20,*aklitta,not wetted,,,,CDIAL,1:
K,20,ak°tᵘ,unmoistened,,,,CDIAL,2:
Indo-Aryan,21,ákṣa,axle; collar-bone; temporal bone,,,¹ m; RV; ŚBr; Yājñ,CDIAL,1:
Indo-Aryan,21,akṣaka,collar-bone,,,m; Suśr,CDIAL,1:@variant
Pa,21,akkha,axle,,,m,CDIAL,2:
Pa,21,akkhaka,collar-bone,,,m,CDIAL,2:
Pk,21,akkha,collar-bone,,,m,CDIAL,2:
KharI,21,akha,,,,,CDIAL,2:
Or,21,akha,axle-tree,,,,CDIAL,2:
Bi,21,akhaut,axle of grain-husker,,,,CDIAL,2:
Bi,21,akhautā,do. of brick-crusher,,,(+ ?),CDIAL,2:
G,21,ã̄k,axle,,,m,CDIAL,2:
M,21,ās,,,,,CDIAL,2:
M,21,ã̄s,"axle, temple of head",,,m; (→ G. <i>ã̄s</i> m. 'axis'),CDIAL,2:
M,21,ã̄kh,axle,,,m,CDIAL,2:
Si,21,aka,axle,,,,CDIAL,2:
Si,21,akuva,collar-bone,,,(&lt; <i>akṣaka</i>- Geiger GS 30),CDIAL;GS,2:
G,21,ã̄s,axis,,,m,CDIAL,2:M →
Indo-Aryan,22,akṣá,a die for gambling; the tree Elaeocarpus ganitrus; its seed (of which rosaries were made and which were used for dice),,,² m; RV; Suśr,CDIAL,1:
Pa,22,akkha,"a die, small weight",,,m,CDIAL,2:
Pa,22,accha,a die,,,m,CDIAL,2:
Pk,22,akkha,,,,m,CDIAL,2:
N,22,ākh,the tree Croton oblongifolius (?),,,,CDIAL,2:
OSi,22,äkä,a measure of weight,,,"(&lt; nom. sg. <i>*āki</i>), mod",CDIAL,2:
OSi,22,aka,"dice, the tree Terminalia belerica and its seeds (which are used for rosaries and a measure of weight)",,,,CDIAL,2:
Indo-Aryan,23,akṣa,eye,,,³ n; lex,CDIAL,1:
Ku,23,akhulo,joint of sugar-cane,,,,CDIAL,2:
H,23,ã̄kh,,,,m,CDIAL,2:
H,23,ãkhuā,sprout in the joint of sugar-cane,,,m,CDIAL,2:
Indo-Aryan,24,akṣa,blue vitriol,,,⁴ n; lex,CDIAL,1:
Kho,24,oc̣h,,,,,CDIAL,2:
Kho,24,oc̣,"green, blue",,,,CDIAL,2:
Kho,24,oc̣ōnu,"blue-grey (of eyes), dark grey (of horse)",,,,CDIAL,2:
Indo-Aryan,25,*akṣakīla,,,,cf,CDIAL,1:
Indo-Aryan,25,akṣāgrakīla,,,,,CDIAL,1:@variant
Indo-Aryan,25,akṣāgrakīlaka,lynch-pin,,,m; lex,CDIAL,1:@variant
Bi,25,akhailā,axle of brick-crusher,,,,CDIAL,2:
Indo-Aryan,26,akṣaṇa,inopportune,,,lex,CDIAL,1:
Pa,26,akkhaṇa,"wrong moment, misfortune",,,m,CDIAL,2:
Pk,26,akkhaṇiā,perverse copulation,,,f,CDIAL,2:
Si,26,akaṇa,inopportune time,,,,CDIAL,2:
Indo-Aryan,27,*akṣaṇā,lightning,,,f,CDIAL,1:
Pa,27,akkhaṇā,lightning,,,f,CDIAL,2:
Si,27,akaṇa,"lightning, thunder",,,,CDIAL,2:
Si,27,akuṇa,"lightning, thunder",,,,CDIAL,2:
Si,27,akaṇa,"lightning, thunder",,,,CDIAL,2:
Si,27,akuṇa,"lightning, thunder",,,,CDIAL,2:
Indo-Aryan,28,ákṣata,unhurt; not crushed; uncrushed barley,,,RV; ĀśvGr̥; Kālid,CDIAL,1:
Pa,28,akkhata,unhurt,,,,CDIAL,2:
Pk,28,akkhaya,"unhurt, unbroken; uncrushed rice",,,m,CDIAL,2:
S,28,akho,offering of grain thrown into water or given to mendicants,,,m,CDIAL,2:
Ku,28,ã̄khat,rice soaked in water and used for religious purposes,,,(X lw. Sk.),CDIAL,2:
A,28,ākhai,"parched paddy, husked maize",,,,CDIAL,2:
G,28,ākhũ,"whole, uncastrated",,,,CDIAL,2:
G,28,ākhlɔ,uncastrated bull,,,m,CDIAL,2:
G,28,ākhī,ceremony of carrying rice or corn in the hand round a person to remove the effects of the evil eye,,,f,CDIAL,2:
M,28,akhā,"whole, undivided",,,,CDIAL,2:
M,28,ākhā,"whole, undivided",,,,CDIAL,2:
Ko,28,ākho,,,,,CDIAL,2:
Ko,28,āko,complete,,,,CDIAL,2:
kcch,28,ã̄kho,bull,,,m,CDIAL,3:
Indo-Aryan,29,akṣatra,separated from the Kṣatriya caste,,,MBh,CDIAL,1:
Pk,29,akhatta,"un-Kṣatriya-like conduct, tyranny",,,n,CDIAL,2:
G,29,akhatrũ,bad,,,,CDIAL,2:
G,29,akhã̄tar,being possessed by an evil spirit,,,n,CDIAL,2:
Indo-Aryan,30,*akṣadāruka,a partic. tree,,,,CDIAL,1:
Dm,30,aṣkürṓ,pine,,,"(Morgenstierne NTS xii 128, 157 with metathesis of <i>kṣ</i>)",CDIAL;Morgenstierne;NTS,2:
Phal,30,ac̣hā́ru,,,,,CDIAL,2:
Indo-Aryan,31,akṣadhur,pin or pole of axle,,,f,CDIAL,1:
M,31,ākhrī,,,,,CDIAL,2:
M,31,akhrī,beam over the axle on which the frame of the cart rests,,,f,CDIAL,2:
Si,31,akura,axle of a wheel,,,,CDIAL,2:
Indo-Aryan,32,*akṣapaṭṭa,notched board,,,,CDIAL,1:
N,32,akhaṭo,"notch, step cut in a tree for climbing",,,,CDIAL,2:
M,32,akhoṭā,grooved or notched channel,,,m,CDIAL,2:
Indo-Aryan,33,*akṣapuṭa,collar-bone,,,,CDIAL,1:
Paš,33,āṣūṛā,collar-bone,,,"(Morgenstierne IIFL iii 3, 20 &lt; <i>akṣa-puṭaka</i>- or -<i>kuṭaka</i>-: <i>kuṭi</i>- 'curve')",CDIAL;Morgenstierne;IIFL,2:
Indo-Aryan,34,akṣama,unable to bear,,,Hit,CDIAL,1:
Pk,34,akkhama,"incapable, unfit",,,,CDIAL,2:
G,34,akham,"incompetent, delicate",,,"(<i>a</i>- for <i>ā</i>- after other negatives with <i>a</i>-, or ← Sk.)",CDIAL,2:
Indo-Aryan,35,akṣamālā,string of rosary beads,,,f; lex,CDIAL,1:
Indo-Aryan,35,akṣamālin,name of Śiva,,,m; MBh,CDIAL,1:@variant
Pk,35,akkhamālā,rosary,,,f,CDIAL,2:
Si,35,akmala,,,,,CDIAL,2:
Indo-Aryan,36,akṣaya,undecaying,,,,CDIAL,1:
Pa,36,akkhaya,,,,,CDIAL,2:
Pk,36,akkhaya,,,,,CDIAL,2:
Indo-Aryan,37,akṣayatr̥tīyā,festival on third day of bright half of Vaiśākha (which secured permanence for actions then initiated),,,f,CDIAL,1:
Pk,37,akkhayataïyā,,,,f,CDIAL,2:
M,37,akhj̈ā,,,,f,CDIAL,2:
H,37,ākhātīj,,,,,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
H,37,akhetīj,,,,,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
H,37,akhtīj,,,,f,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
M,37,akhetīj̈,,,,,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
M,37,akhitīj̈,,,,,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
M,37,akhetī,,,,f,CDIAL,"3:(with -<i>t</i>- preserved or reintroduced through influence of <i>tīj</i>, &amp;c., &lt; <i>tr̥tīyā</i>-)"
Indo-Aryan,38,akṣára,"indestructible; word, syllable; letter of the devanāgarī syllabary",,,n; RV,CDIAL,1:
Pa,38,akkhara,"lasting; syllables, words",,,n,CDIAL,2:
Pk,38,akkhara,written syllable,,,m,CDIAL,2:
K,38,achur,,,,pl,CDIAL,2:
K,38,ar,letter of the alphabet,,,m,CDIAL,2:
S,38,akharu,,,,m,CDIAL,2:
P,38,akkhar,,,,m,CDIAL,2:
bhiḍ,38,akkhar,,,,m,CDIAL,2:
Ku,38,ã̄khar,letter; writing,,,pl,CDIAL,2:
N,38,ākhar,any small marks or lines,,,,CDIAL,2:
A,38,ākhar,letter of the alphabet,,,,CDIAL,2:
B,38,ākhar,,,,,CDIAL,2:
B,38,ã̄khar,,,,,CDIAL,2:
Or,38,ākhara,,,,,CDIAL,2:
OMth,38,ã̄khara,,,,,CDIAL,2:
Mth,38,ākhar,,,,,CDIAL,2:
OAw,38,ākhara,,,,,CDIAL,2:
H,38,ākhar,letter,,,m,CDIAL,2:
H,38,ã̄khar,mystical formula or spell,,,m,CDIAL,2:
Si,38,akura,,,,,CDIAL,2:
Si,38,akara,letter,,,,CDIAL,2:
kṭg,38,ákkhər,letter of the alphabet,,,m,CDIAL,3:
kṭg,38,ɔ́kkhər,,,,m,CDIAL,3:
kṭg,38,ɔkśər,,,,← Sk,CDIAL,3:
Garh,38,ākhar,,,,,CDIAL,3:
Indo-Aryan,39,akṣavāṭa,,,,,CDIAL,1:
Indo-Aryan,39,pāṭa,wrestling ground,,,m; lex,CDIAL,1:@variant
Pa,39,akkhavāṭa,fence round wrestling arena,,,m,CDIAL,2:
Pk,39,akkhavāḍaga,wrestling ground,,,m,CDIAL,2:
Pk,39,akkhāḍaga,,,,,CDIAL,2:
Pk,39,akkhāḍagaya,dicing ground,,,m,CDIAL,2:
L,39,akhāṛhā,"wrestling ground, place where indigo is dried, cattle-track through waste land",,,<i>khāṛ(h)ā</i> m,CDIAL,2:
mult,39,akhāṛhā,"wrestling ground, place where indigo is dried, cattle-track through waste land",,,<i>khāṛ(h)ā</i> m,CDIAL,2:
awāṇ,39,khāṛā,wrestling ground,,,m,CDIAL,2:
P,39,akāṛhā,,,,,CDIAL,2:
P,39,akāṛā,,,,,CDIAL,2:
P,39,kāṛhā,,,,,CDIAL,2:
P,39,kāṛā,,,,m,CDIAL,2:
A,39,ākharā,practising dancing and singing,,,,CDIAL,2:
B,39,ākhaṛā,wrestling ground,,,,CDIAL,2:
B,39,ākhaṛāi,rehearsal,,,,CDIAL,2:
Or,39,ākhaṛā,meeting place for dancing and singing,,,,CDIAL,2:
H,39,akhāṛā,wrestling ground,,,"m; (→ K. <i>akahār</i> m., N. <i>akhāṛā</i>, M. <i>akhāḍā</i> m.)",CDIAL,2:
G,39,ākhāṛɔ,,,,,CDIAL,2:
G,39,akhāṛɔ,"wrestling place, monastery",,,m,CDIAL,2:
K,39,akahār,,,,m,CDIAL,2:H →
N,39,akhāṛā,,,,,CDIAL,2:H →
M,39,akhāḍā,,,,m,CDIAL,2:H →
kcch,39,ākhāṛo,gymnasium,,,m,CDIAL,3:
Indo-Aryan,40,*akṣākāra,shaped like a die,,,,CDIAL,1:
H,40,akhār,a small lump of clay placed in the centre of a potter's wheel,,,m,CDIAL,2:
Indo-Aryan,41,*akṣānta,unbearable,,,,CDIAL,1:
N,41,akhānu,"intolerable, unpleasant",,,,CDIAL,2:
Indo-Aryan,42,*akṣāmita,unbearable,,,,CDIAL,1:
N,42,akhāyo,intolerable,,,,CDIAL,2:
Indo-Aryan,43,ákṣi,eye,,,n; RV,CDIAL,1:
Pa,43,akkhi,,,,,CDIAL,2:
Pa,43,acchi,,,,n,CDIAL,2:
Pk,43,akkhi,,,,,CDIAL,2:
Pk,43,acchi,,,,n,CDIAL,2:
Gy,43,íki,,,,,CDIAL,2:
pal,43,íki,,,,,CDIAL,2:
arm,43,akhi,,,,,CDIAL,2:
eur,43,yakh,,,,f,CDIAL,2:
eur,43,y,,,,from preceding f,CDIAL,2:
Ash,43,aċī́,,,,,CDIAL,2:
Ash,43,aċī̃,,,,,CDIAL,2:
Kt,43,ačī́,,,,,CDIAL,2:
Wg,43,ačē̃́,,,,,CDIAL,2:
Wg,43,ac̣ē̃́,,,,,CDIAL,2:
Pr,43,ižī̃,,,,,CDIAL,2:
Dm,43,ē̃č,,,,"(with <i>č</i>, not <i>c̣h</i>, as in Gaw. Paš., &amp;c., Morgenstierne NTS xii 128)",CDIAL;Morgenstierne;NTS,2:
Tir,43,ač,,,,,CDIAL,2:
Paš,43,ačhī́,,,,,CDIAL,2:
Paš,43,aᵉċ,,,,f,CDIAL,2:
Shum,43,aĩċ,,,,,CDIAL,2:
Shum,43,aċin,,,,,CDIAL,2:
Gaw,43,iċīn,,,,,CDIAL,2:
Kal,43,ēč,,,,,CDIAL,2:
Kho,43,čh,,,,as in Kaf,CDIAL,2:
Bshk,43,ēc̣,,,,,CDIAL,2:
Bshk,43,εc̣h,,,,',CDIAL,2:
Tor,43,aṣī́,,,,,CDIAL,2:
Kand,43,ac̣hē,,,,,CDIAL,2:
Mai,43,āc̣hī,,,,,CDIAL,2:
ky,43,ac̣hī́,,,,,CDIAL,2:
ky,43,ãc̣hī́,,,,Savi,CDIAL,2:
ky,43,ac̣hē̃,,,,pl,CDIAL,2:
ky,43,ē̃a,,,,,CDIAL,2:
Phal,43,ac̣hi,,,,pl,CDIAL,2:
Phal,43,īa,,,,,CDIAL,2:
Sh,43,ac̣hī́,,,,f,CDIAL,2:
pales,43,aṣī́,,,,,CDIAL,2:
K,43,ȧchi,,,,f,CDIAL,2:
rām,43,acch,,,,,CDIAL,2:
kash,43,acchī,,,,,CDIAL,2:
S,43,akhi,,,,f,CDIAL,2:
L,43,akkh,,,,f,CDIAL,2:
awāṇ,43,akh,,,,pl,CDIAL,2:
awāṇ,43,iã̄,,,,,CDIAL,2:
P,43,akkh,,,,f,CDIAL,2:
bhad,43,aċh,,,,,CDIAL,2:
cur,43,ākhrī,,,,,CDIAL,2:
cam,43,hākh,,,,,CDIAL,2:
Ku,43,ã̄kh,,,,,CDIAL,2:
Ku,43,ã̄khi,,,,,CDIAL,2:
Ku,43,ã̄kho,,,,'eye,CDIAL,2:
N,43,ã̄khi,evil eye,,,,CDIAL,2:
N,43,ã̄khi-bhuĩ,eye-brow,,,,CDIAL,2:
N,43,ã̄kho,eye,,,(-<i>o</i> for -<i>ī</i> to maintain orig. n.m. gender),CDIAL,2:
A,43,ākhi,"eye, knot in bamboo, &amp;c.",,,,CDIAL,2:
B,43,ã̄khi,eye,,,,CDIAL,2:
B,43,ã̄kh,eye,,,,CDIAL,2:
Or,43,ākhi,,,,,CDIAL,2:
Or,43,āẽkha,,,,,CDIAL,2:
Bi,43,ã̄khi,,,,,CDIAL,2:
Mth,43,ã̄khi,,,,,CDIAL,2:
Bhoj,43,ākhⁱ,,,,,CDIAL,2:
OAw,43,ã̄khi,,,,,CDIAL,2:
Aw,43,ã̄khī,,,,pl,CDIAL,2:
lakh,43,ã̄khī,,,,pl,CDIAL,2:
H,43,ã̄kh,,,,f,CDIAL,2:
OMarw,43,ākhi,,,,f,CDIAL,2:
G,43,ã̄khⁱ,,,,f,CDIAL,2:
Si,43,äsa,,,,,CDIAL,2:
Si,43,ähä,,,,,CDIAL,2:
kcch,43,akh,eye,,,f,CDIAL,3:
kṭg,43,ákkh,,,,obl,CDIAL,3:
kṭg,43,ɪ,,,,f,CDIAL,3:
Garh,43,ã̄khu,,,,m,CDIAL,3:
Indo-Aryan,44,akṣibhruva,the eyes and the brows,,,n; Pāṇ,CDIAL,1:
Wg,44,ačībrǘ,eyebrow,,,,CDIAL,2:
Kt,44,áčiprū,,,,,CDIAL,2:
Paš,44,ažburā́,,,,,CDIAL,2:
Kal,44,ečbru,,,,,CDIAL,2:
N,44,ã̄khi-bhuĩ,,,,,CDIAL,2:
Indo-Aryan,45,*akṣirujā,eye-disease,,,f,CDIAL,1:
Si,45,āsrudāva,ophthalmia,,,,CDIAL,2:
Indo-Aryan,46,ákṣu,bamboo-pole,,,m; AV,CDIAL,1:
B,46,ākhu,,,,,CDIAL,2:
B,46,āukh,,,,,CDIAL,2:
B,46,ākh,sugar-cane,,,Manbhum d,CDIAL,2:
B,46,āuk,,,,,CDIAL,2:
B,46,āk,sugar-cane,,,Manbhum d,CDIAL,2:
Or,46,ākhu,sugar-cane,,,,CDIAL,2:
H,46,āk,sugar-cane sprout,,,m; (cf. <smallcaps>akṣa</smallcaps>-³),CDIAL,2:
Bi,46,akhainā,hooked stick for pushing sheaves under bullock's feet when threshing,,,,CDIAL,2:
Bhoj,46,akhain,,,,,CDIAL,2:
Mth,46,ukhaino,,,,,CDIAL,2:
Bhoj,46,pacakhā,,,,,CDIAL,3:
Mth,46,pacakhā,,,,,CDIAL,3:
Mth,46,pã̄cakh,five-pronged stick for same use,,,,CDIAL,3:
Si,46,akuva,stake,,,more prob,CDIAL,4:
Indo-Aryan,47,*akṣēma,unpeaceful,,,,CDIAL,1:
Sh,47,ac̣hēmo,"unruly, mischievous, malignant, dishonest",,,,CDIAL,2:
